Time,MeanN,ErrorMn,CV2N,ErrorCV2
2.6099999999999883,6.087,0.13578806282638833,0.12910198215897417,0.017644401097287453
2.619999999999988,6.125,0.13618411077854642,0.12824989587671803,0.017508975290976992
2.629999999999988,6.159,0.13638696039329012,0.12721596637000634,0.017344902716542966
2.639999999999988,6.201,0.13656884971001482,0.12583346876050733,0.01712595409182385
2.6499999999999875,6.244,0.13710217577978412,0.1250775119515119,0.017006444523167415
2.6599999999999877,6.292,0.1382538803595006,0.12525456396461426,0.01703442124069105
2.669999999999987,6.329,0.13925429283816282,0.12559238896131067,0.017087825308259225
2.679999999999987,6.385,0.14013749184851942,0.12496926221340272,0.016989343614496583
2.689999999999986,6.432,0.14025573203477926,0.12335748186926064,0.01673508729292167
2.6999999999999864,6.476,0.14058579842514796,0.12226032662625455,0.016562407384877617
2.709999999999986,6.527,0.1419208636765541,0.1226539655233242,0.016624324809144764
2.719999999999986,6.583,0.1418643586314765,0.1204800713791749,0.016282900080861865
2.7299999999999858,6.637,0.1428407952556512,0.12016478451907434,0.01623348748437576
2.7399999999999856,6.688,0.1431565146949776,0.11886282079164857,0.016029724342141827
2.7499999999999853,6.733,0.14381542684471338,0.11836138780929839,0.015951370203379923
2.759999999999985,6.768,0.14411617347046946,0.1176308060739176,0.01583733140970892
2.769999999999985,6.822,0.14409129684989264,0.11573598136162676,0.015542240833193964
2.7799999999999847,6.88,0.14501505650111834,0.11525655759870203,0.015467733712217595
2.7899999999999845,6.922,0.14602581009923998,0.11545490465809595,0.01549855111443166
2.7999999999999843,6.973,0.14661006006548138,0.1146844513807524,0.015378905607035188
2.809999999999984,7.031,0.14747210443692005,0.11413054417095626,0.015292989187155371
2.819999999999984,7.082,0.14824425390782814,0.1136737588267857,0.015222201133155068
2.829999999999984,7.136,0.14816919329741918,0.11184652064187897,0.014939613211493404
2.8399999999999834,7.183,0.1485070955535326,0.11089169055069913,0.01479231633872381
2.849999999999983,7.237,0.14914579513986048,0.11018467901610046,0.014683413924710885
2.859999999999983,7.291,0.14931999053708545,0.10881231232957037,0.014472427434712332
2.869999999999983,7.344,0.1498269679718236,0.10797692957599403,0.014344257314614636
2.8799999999999826,7.384,0.1503006300884815,0.10748665675191243,0.014269128641293712
2.8899999999999824,7.439,0.15121769707432353,0.10719942370912404,0.014225145284031643
2.899999999999982,7.498,0.1525591450634467,0.10739942316617407,0.014255768269421596
2.909999999999982,7.55,0.15320842682912073,0.10682864786632167,0.014168404010134437
2.9199999999999817,7.609,0.15379376271689083,0.10598358484976071,0.014039227646523166
2.929999999999981,7.667,0.15484275979200213,0.1058149932032092,0.014013481212119684
2.9399999999999813,7.722,0.15549615276951467,0.10519522588934657,0.013918903791265322
2.949999999999981,7.776,0.15580704667412348,0.10415449457230436,0.013760335649488364
2.959999999999981,7.827,0.15653821121162004,0.10376870437755885,0.01370163535610196
2.9699999999999807,7.891,0.15793614341861328,0.10392386726633591,0.01372523913703556
2.9799999999999804,7.934,0.1583325535699922,0.10331713825854325,0.01363298168913482
2.98999999999998,7.992,0.15877370709860816,0.10239117996875755,0.013492389485606745
2.99999999999998,8.063,0.16009251034704164,0.10227395204719916,0.013474608095208071
3.00999999999998,8.126,0.1605624528272802,0.10128629391053498,0.013324957519092488
3.01999999999998,8.181,0.16121071623309824,0.10073754390881376,0.013241934214975326
3.02999999999998,8.234,0.16186698065776817,0.10025617579178002,0.013169178433302904
3.039999999999979,8.301,0.16292507399412237,0.09993816122202863,0.013121150006631985
3.049999999999979,8.348,0.16297826249531866,0.09888053661875174,0.01296163654392481
3.0599999999999787,8.404,0.16304787689006162,0.09765051478172379,0.012776539775336033
3.0699999999999785,8.458,0.1634192346486092,0.09684725399021417,0.01265590700649863
3.0799999999999783,8.516,0.16519641293178644,0.09762167354529071,0.012772205089141642
3.089999999999978,8.568,0.1659603642118288,0.09733435858003334,0.012729036744786083
3.099999999999978,8.616,0.16634510255497048,0.0966996686866179,0.012633763854492618
3.1099999999999777,8.672,0.16601888407079635,0.0950807876390572,0.012391303540303579
3.119999999999977,8.735,0.1669260779446642,0.09474120161506733,0.012340544146648851
3.129999999999977,8.809,0.1671077584341134,0.09335903108721937,0.012134306893621698
3.139999999999977,8.871,0.16775054679797385,0.09276818481197467,0.012046323127675677
3.149999999999977,8.932,0.16861022916338975,0.09244570461118479,0.011998347280437196
3.1599999999999766,8.989,0.16951656177206154,0.0922609321109281,0.011970872801131616
3.1699999999999764,9.055,0.16946079654919544,0.09086108239084971,0.011763066007502945
3.179999999999976,9.116,0.1699215713275617,0.09013733766590083,0.011655864410820546
3.189999999999976,9.178,0.1707336976918299,0.08977568223937019,0.01160235676922012
3.199999999999976,9.247,0.17178788898797492,0.08953641449439544,0.011566979036163123
3.2099999999999755,9.315,0.17256903229261056,0.08903819297683022,0.011493370204668087
3.2199999999999758,9.372,0.17294656901170313,0.08834371742164208,0.011390895870863102
3.229999999999975,9.438,0.17335329310152936,0.08752267337483773,0.011269941112982927
3.239999999999975,9.496,0.173817709266185,0.08692064907034859,0.01118138715068907
3.2499999999999747,9.553,0.17434036245584217,0.08640376400524791,0.01110544823552699
3.2599999999999745,9.613,0.1755306729345154,0.086497684027324,0.011119240326693558
3.2699999999999743,9.681,0.17640697001493777,0.08614049622904546,0.011066802488304434
3.279999999999974,9.755,0.17660063686443728,0.08502493562816948,0.010903291682611132
3.289999999999974,9.816,0.17726694371040885,0.08460630781605666,0.01084203497619652
3.2999999999999736,9.884,0.17792242553093907,0.08406442290259442,0.010762825976022928
3.3099999999999734,9.942,0.1782264683365895,0.08337065500927306,0.010661553901287698
3.319999999999973,10.019,0.17908952138957623,0.08289110456576261,0.010591642978582748
3.329999999999973,10.095,0.18088138788850472,0.08328972826498926,0.010649750829141113
3.3399999999999728,10.165,0.18255502858930406,0.08367373652007014,0.010705776806800224
3.349999999999973,10.238,0.18370828402935047,0.0835302072827289,0.010684830621323017
3.3599999999999723,10.305,0.185260913746923,0.08384707941034733,0.01073108276690645
3.369999999999972,10.379,0.18713838713370912,0.0843395090962438,0.010803024375730264
3.379999999999972,10.451,0.18827031445143483,0.08419074040736013,0.01078128175320084
3.389999999999972,10.516,0.18941486149429743,0.0841672766279383,0.010777853159759819
3.3999999999999715,10.576,0.19031302683354134,0.08400603312727013,0.01075429660185536
3.4099999999999717,10.654,0.19132366117586308,0.08366201289787206,0.010704065650312289
3.419999999999971,10.737,0.19182212882476612,0.08280333619212012,0.010578855799228612
3.429999999999971,10.814,0.1915966626167851,0.08143657081120381,0.010380052059386299
3.43999999999997,10.883,0.193278301776175,0.0818248602459603,0.010436468990910422
